,Apelido,Nome Jogador,Rodada 1,Rodada 2,Rodada 3,Rodada 4,Rodada 5,Rodada 6,Rodada 7,Rodada 8,Rodada 9,Rodada 10,Rodada 11,Rodada 12,Rodada 13,Rodada 14,Rodada 15,Rodada 16,Rodada 17,Rodada 18,Rodada 19,Rodada 20,Rodada 21,Rodada 22,Rodada 23,Rodada 24,Rodada 25,Rodada 26,Rodada 27,Rodada 28,Rodada 29,Rodada 30,Rodada 31,Rodada 32,Rodada 33,Rodada 34,Rodada 35,Rodada 36,Rodada 37,Rodada 38
0,Willian Popp,Willian Popp,,,,,,,,,,,,,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
1,Tiago,Tiago dos Santos Alves,,,,,,,,,,,,,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
2,Felipe,Felipe de Oliveira Silva,,,,,,,,,,,,,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
3,Mateus Goncalves,Mateus Concalves Martins,,,,,,,,,,,,,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
4,Thiago Galhardo,Thiago Galhardo do Nascimento Rocha,,,,,,,,,,,,,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
5,Felippe Cardoso,Wanderson Felippe Cardoso dos Santos,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,,,,,,,,,,,,,
6,Diogo Silva,Diogo José Gonçalves da Silva,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
7,Lima,Vinicius Moreira de Lima,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,,,,,,,,,,,,,
8,Leandro,Leandro Carvalho da Silva,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,,,,,,,,,,,,,
9,Valdo,Andrevaldo de Jesus Santos,,,,,,,,,,,,,Ceara,,,,,,,,,,,,,,,,,,,,,,,,,
10,Joao Lucas,Joao Lucas Cardoso,,,,,,,,,,,,,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
11,Luiz,Luiz Otávio Anacleto Leandro,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
12,Samuel,Samuel Xavier Brito,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
13,Ricardinho,Ricardo Dias Acosta,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
14,Fabinho,Fabio Goncalves,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,Ceara,,,,,,,,,,,,,
15,Jackson,Jackson de Souza,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
16,Luis,Luis Antonio Ferreira Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
17,Gabriel ,Gabriel Dias de Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
18,Paulao,Paulo Marcos de Jesus Ribeiro,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
19,Marcelo Boeck,Marcelo Boeck,,,,,,,,,,,,,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
20,Felipe,Felipe Alves Raymundo,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,,,,,,,,,,,,,
21,Osvaldo,Osvaldo Lourenco Filho,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
22,Carlinho,Carlos Emiliano Pereira,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
23,Guilherme,Guilherme de Jesus da Silva,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,,,,,,,,,,,,,
24,Andre Luis,André Luís da Costa Alfredo,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
25,Roger,Roger de Carvalho,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,,,,,,,,,,,,,
26,Juninho,Paulo Roberto Valoura Junior,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
27,Wellington Paulista,Wellington Pereira do Nascimento,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,
28,Luis,Luiz Antonio Ferreira Rodrigues,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,,,,,,,,,,,,,
29,Juan Quintero,Juan Sebastián Quintero Fletcher,Fortaleza,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,,,,,,,,,,,,,
30,Romarinho,José Romário Silva de Souza,,,,,,,,,,,,,Fortaleza,,,,,,,,,,,,,,,,,,,,,,,,,
31,Hernanes,Anderson Hernanes de Carvalho Viana Lima,,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
32,Igor ,Igor Matheus Liziero Pereira,,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
33,Luan Silva,Luan Vinicius da Silva Santos,,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
34,Vitor Bueno,Vitor Frezarin Bueno,,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
35,Tiago Volpi,Tiago Luis Volpi,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
36,Igor,Igor Vinicius de Souza,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
37,Bruno Alves,Bruno Fabiano Alves,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
38,Arboleda,Robert Abel Arboleda,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
39,Reinaldo,Reinaldo Manoel da Silva,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
40,Alexandre,Alexandre Rodrigues,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
41,Everton,Everton Cardoso da Silva,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hudson,Hudson Rodrigues dos Santos,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Igor,Igor Silveira Gomes,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tche Tche,Danilo das Neves Pinheiro,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,Sao Paulo,,,,,,,,,,,,,
45,Antony,Antony Matheus dos Santos,Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Vinicius,Vinicius Rodolfo de Souza Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
47,Leo Valencia,Leonardo Felipe Valencia Rossel,,,,,,,,,,,,,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
48,Alan Santos,Alan Santos da Silva,,,,,,,,,,,,,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
49,Fernando,Fernando Peixoto Costanza,,,,,,,,,,,,,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
50,Luiz Fernando,Luiz Fernando Moraes dos Santos,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
51,Gilson,Gilson Gomes do Nascimento,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
52,Diego Cavalieri,Diego Cavalieri,,,,,,,,,,,,,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
53,Gatito Fernandez,Roberto Junior Fernandez,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gabriel Costa,Gabriel Costa Franca,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
55,Carli,Mauro Joel Carli,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
56,Marcio,Marcio Almeida de Oliveira,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Gustavo,Gustavo Costa da Silva,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
58,Jonathan,Jonathan Silva Vieira,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Wenderson,Wenderson da Silva Costa Ferreira,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Cicero,Cicero Santos,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,
61,Pimpao,Rodrigo Pimpao Vianna,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,
62,Joao Paulo,Joao Paulo Mior,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,Botafogo,,,,,,,,,,,,,
63,Erik,Erik Nascimento de Lima,Botafogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Nene,Anderson Luis de Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
65,Joao Pedro,Joao Pedro Junqueira de Jesus,,,,,,,,,,,,,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
66,Orinho,Edilsom Borba de Aquino,,,,,,,,,,,,,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
67,Wellington Nem,Wellington Silva Sanches Aguiar,,,,,,,,,,,,,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
68,Airton,Airton Ribeiro Santos,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
69,Gilberto,Gilberto Moraes Junior,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
70,Muriel,Muriel Gustavo Becker,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
71,Marcos Paulo,Marcos Paulo Costa do Nascimento,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,
72,Allan,Allan Rodrigues de Souza,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,
73,Yony Gonzalez,Yony Alexander González Copete,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
74,Nino,Marcilio Florencio Mota Filho,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
75,Daniel,Daniel Sampaio Simoes,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
76,Caio Henrique,Caio Henrique Oliveira Silva,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,
77,Igor Juliao,Igor de Carvalho Juliao,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pedro,Pedro Guilherme Abreu dos Santos,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,
79,Digao,Rodrigo Junior Paula Silva,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,
80,PH Ganso,Paulo Henrique de Chagas Lima,,,,,,,,,,,,,Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,
81,Patrick,Patrick Bezerra do Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
82,G. Parede,Guilherme Parede Pinheiro,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
83,Heitor Rodrigues,Heitor Rodrigues da Fonseca,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
84,Victor Cuesta,Victor Leandro Cuesta,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
85,Dalessandro,Andres Nicolas Dalessandro,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
86,Edenilson,Edenilson Andrade dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
87,Nico Lopez,Nicolas Frederico Lopez Alonso,,,,,,,,,,,,,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
88,Marcelo Lomba,Marcelo Lomba do Nascimento,Internacional,,,,,,,,,,,,Internacional,,,,,,,,,,,,Internacional,,,,,,,,,,,,,
89,Rafael Sobis,Rafael Augusto Sobis,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
90,Bruno Fuchs,Bruno de Lara Fuchs,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
91,Klaus,William Klaus,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
92,Gabriel,José Gabriel dos Santos Silva,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
93,Nonato,Gustavo Nonato Santana,Internacional,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
94,Natanael,Natanael Batista Pimenta,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
95,Wellington SIlva,Wellington Alves da Silva,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
96,Rithely,Francisco Rithely da Silva Sousa,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
97,Santiago,Santiago Trellez Vivero,,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
98,Zeca,Jose Carlos Cracco Neto,Internacional,,,,,,,,,,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
99,Talison Goncalves,Talison Pinto Goncalves,,,,,,,,,,,,,,,,,,,,,,,,,Santos,,,,,,,,,,,,,
100,Evandro,Evandro Goebel,,,,,,,,,,,,,,,,,,,,,,,,,Santos,,,,,,,,,,,,,
101,Luan Peres,Luan Peres Petroni,,,,,,,,,,,,,,,,,,,,,,,,,Santos,,,,,,,,,,,,,
102,Marinho,Mario Sergio Santos Costa,,,,,,,,,,,,,,,,,,,,,,,,,Santos,,,,,,,,,,,,,
103,Everson,Éverson Felipe Marques Pires,,,,,,,,,,,,,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,
104,Gustavo,Gustavo Henrique Vernes,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,
105,Victor Ferraz,Victor Ferraz Macedo,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,
106,Yeferson Soteldo,Yeferson Julio Soteldo Martínez,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,,,,,,,,,,,,,
107,Carlos Sanchez,Carlos Andrés Sánchez Arcosa,,,,,,,,,,,,,Santos,,,,,,,,,,,,,,,,,,,,,,,,,
108,Derlis Gonzalez,Derlis Alberto González Galeano,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,,,,,,,,,,,,,
109,Felipe,Felipe Jonatan Rocha Andrade,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,,,,,,,,,,,,,
110,Lucas Verissimo,Lucas Verissimo da Silva,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,
111,Jorge,Jorge Marco de Oliveira Moraes,,,,,,,,,,,,,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,
112,Diego,Diego Cristiano Evaristo,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,
113,Eduardo Sasha,Eduardo Colcenti Antunes,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,Santos,,,,,,,,,,,,,
114,Tadeu,Tadeu Antonio Ferreira,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,Goias,Goias,Goias,,,,,,,,,,,
115,Michael,Michael Richard Delgado de Oliveira,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,Goias,Goias,,,,,,,,,,,,
116,Leandro Barcia,Leandro Barcia Montero,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,Goias,Goias,,,,,,,,,,,,
117,Jefferson Junio,efferson Junio ​​Antonio da Silva,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,Goias,Goias,Goias,,,,,,,,,,,
118,Rafinha,Rafael Diniz Alves e Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,Goias,,,,,,,,,,,
119,Kaio Nunes,Kaio Nunes Ferreira,,,,,,,,,,,,,,,,,,,,,,,,,,,Goias,,,,,,,,,,,
120,Rafael Papagaio,Rafael Elias da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,Goias,,,,,,,,,,,
121,Rafael Vaz,Rafael Vaz dos Santos,,,,,,,,,,,,,Goias,,,,,,,,,,,,Goias,Goias,Goias,,,,,,,,,,,
122,Kevin,Kevin Peterson dos Santos Silva,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,,,,,,,,,,,,,,
123,Geovane,Geovane Batista de Faria,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,,,Goias,,,,,,,,,,,
124,Leo Sena,Leonardo de Souza Sena,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,,Goias,Goias,,,,,,,,,,,
125,Kayke,Kayke Moreno de Andrade Rodrigues,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,,,,,,,,,,,,,,
126,Yago,Yago Fernando da Silva,Goias,,,,,,,,,,,,Goias,,,,,,,,,,,,,,,,,,,,,,,,,
127,Marlone,Jonathan Marlone Azevedo da Silva,,,,,,,,,,,,,Goias,,,,,,,,,,,,,,,,,,,,,,,,,
128,Yago Felipe,Yago Felipe da Costa Rocha,,,,,,,,,,,,,,,,,,,,,,,,,Goias,Goias,Goias,,,,,,,,,,,
